106_17	533855	533954
104_11	515756	516085
109_21	541989	542475
106_18	533954	534490
104_12	516085	516838
109_22	542475	542692
106_19	534490	534702
104_13	516838	517052
118_50	579176	579327
109_23	542692	542772
104_14	517052	517379
118_51	579327	579458
109_24	542772	543031
104_15	517379	517680
118_52	579458	579740
109_25	543031	543490
104_16	517680	517969
118_53	579740	580039
109_26	543490	543597
104_17	517969	518276
118_54	580039	580126
109_27	543597	543706
104_18	518276	518606
118_55	580126	580390
109_28	543706	543868
104_19	518606	518912
118_56	580390	580694
109_29	543868	544127
106_20	534702	534794
118_57	580694	580937
106_21	534794	534925
118_58	580937	581205
106_22	534925	534941
100_10	510109	510708
118_59	581205	581404
106_23	534941	534957
100_11	510708	510912
104_20	518912	519199
109_30	544127	544349
104_21	519199	519544
109_31	544349	544762
104_22	519544	520128
109_32	544762	544847
104_23	520128	520437
118_60	581404	581498
109_33	544847	545190
104_24	520437	520759
118_61	581498	581641
109_34	545190	545614
104_25	520759	521286
118_62	581641	581823
109_35	545614	545812
104_26	521286	521505
118_63	581823	581993
109_36	545812	545914
104_27	521505	521827
118_64	581993	582271
109_37	545914	546632
104_28	521827	522012
118_65	582271	582437
109_38	546632	546960
104_29	522012	522028
118_66	582437	582668
109_39	546960	547471
118_67	582668	583000
118_68	583000	583016
118_69	583016	583177
104_30	522028	522136
109_40	547471	547487
104_31	522136	522721
104_32	522721	523312
104_33	523312	523655
104_34	523655	524118
104_35	524118	524540
104_36	524540	524980
104_37	524980	525130
104_38	525130	525146
104_39	525146	525248
104_40	525248	525320
104_41	525320	526140
104_42	526140	526294
104_43	526294	526452
104_44	526452	526819
104_45	526819	526984
104_46	526984	527000
104_47	527000	527235
104_48	527235	527500
0_0	0	106
0_1	106	580
91_0	398247	398644
91_1	398644	399102
91_2	399102	399398
91_3	399398	399636
81_0	374751	374765
91_4	399636	400013
81_1	374765	374903
91_5	400013	400553
81_2	374903	375017
91_6	400553	400815
81_3	375017	375143
71_0	292280	292294
91_7	400815	401229
81_4	375143	375262
71_1	292294	292493
91_8	401229	401715
81_5	375262	375353
71_2	292493	293120
91_9	401715	402129
81_6	375353	375367
71_3	293120	293200
61_0	258601	258877
81_7	375367	375615
71_4	293200	293504
61_1	258877	259819
81_8	375615	376654
71_5	293504	294523
61_2	259819	260098
81_9	376654	376803
